"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
16,4,16.4,3,18.2,21,3.8,40.1,0,4,989,11,0.51,79.64,10
9,10,15.3,1,14.1,19,3.7,28.7,0,4,321,10,0.75,168.6,12
16,9,16,1,12.6,21,3.9,47.2,0,2,959,8,0.58,94.66,12
3,11,16,1,9.6,20,4,38.7,0,3,529,8,3.05,299.08,2
16,2,16.2,2,9.3,28,4,34.5,7,4,851,10,3.16,242.95,2
2,2,16.7,3,13.9,27,3,38.2,7,4,939,11,5.76,652.34,9
13,4,15.3,4,9.3,21,4,43.5,1,3,585,9,2.1,110.93,13
13,14,14.9,0,10.4,21,3.8,33.4,0,3,535,8,0.77,67.41,9
16,11,15.2,1,8.8,23,3.9,30.8,0,3,359,9,0.42,28.11,8
2,7,14.9,1,12.7,16,3.6,45.6,0,2,917,6,0.28,29.96,14
12,4,15.3,4,10.6,14,3.7,31.4,1,2,885,7,0.85,128.83,3
19,4,16.6,3,15.3,25,3.5,43.9,0,4,569,11,1.12,49.15,5
12,12,16.1,0,11.7,29,3.4,44.6,40,3,683,8,1.04,52.4,10
21,11,16.4,2,11.1,25,3.6,28.8,0,3,977,9,1,116.11,8
16,7,16.2,2,11.6,22,4.1,30.8,0,3,474,9,0.9,37.57,2
17,13,15.1,4,13,22,3.4,39.6,0,3,560,7,0.33,15.28,9
23,13,16.5,4,12.9,19,3.6,36.8,1,4,1374,11,3.47,312.52,7
13,13,15.6,0,12.9,22,4,46.8,0,2,1029,7,0.91,80.73,2
16,4,15.1,2,8.1,22,3.6,30.9,2,4,358,10,3.52,128.87,12
16,13,15.9,2,14.9,24,4.1,47.5,1,2,1065,9,0.64,104.32,10
23,14,14.3,1,9.3,32,3.3,33.7,0,3,312,8,0.32,26.92,7
19,13,14.6,0,12.9,24,3.9,50.8,0,1,361,6,2.32,81.38,9
14,11,15.4,1,9.9,19,3.7,38,0,2,617,6,1.18,153.36,11
6,2,17.2,4,15.2,24,3.9,29.4,1,4,441,11,4.33,355.19,15
16,5,17.2,1,13.4,20,4,28.8,0,3,1175,6,0.32,31.15,12
12,4,15.9,0,12.9,17,3.5,34,0,3,445,7,2.67,288.51,6
22,3,16.5,2,14,14,3.2,37.8,0,3,975,9,0.43,41.43,2
23,7,15.9,2,9.6,23,3.7,31.6,0,3,522,9,0.46,41.73,11
13,3,15.5,0,11.2,28,3.5,43.5,0,3,1137,9,0.21,15.77,5
5,13,17.2,4,16.8,23,3.9,38.5,74,3,273,8,1.9,225.52,15
23,5,15.8,3,12,26,3.3,34.6,51,3,314,10,4.12,300.33,10
3,7,15,0,12.6,25,3.4,36.7,10,3,926,10,6.89,784,3
23,1,16.1,5,11.5,23,3.9,35.3,1,4,772,10,2.57,186.64,10
7,3,16.9,0,15.9,25,3.9,23,0,4,847,11,1.59,98.99,15
23,13,16,6,12.1,30,3.6,36.5,113,2,776,8,6.69,462.33,7
2,5,16.7,3,10.2,27,3.8,39.6,1,2,438,6,2.07,123.1,9
12,4,16.3,5,15.1,30,3.7,29.1,0,4,698,11,1.21,37.19,6
7,7,15.6,2,12.7,18,3.7,17,41,3,554,9,4.93,529.16,11
16,4,15.1,2,9,18,3.7,38.8,5,3,555,10,0.4,527.97,12
19,5,16.5,4,15.7,27,3.8,29,3,3,514,9,2.16,167.82,5
16,14,14.9,1,8,17,3.6,30.5,16,2,216,7,5.23,749.13,1
12,5,15.9,0,14.3,20,3.9,46.1,0,3,520,9,0.94,80.9,6
16,13,15.1,4,8.4,31,3.8,31.3,0,2,991,8,0.54,30.48,10
5,13,14.9,2,13.2,19,3.9,43.7,3,4,484,10,3.28,274.2,10
12,14,14.7,2,10.8,18,4.1,34.6,0,3,607,9,1.68,202.14,6
13,13,15,0,10.8,16,3.7,31.9,0,2,1111,8,1.55,47.8,8
7,13,15.5,0,7,19,3.8,46.3,66,3,823,8,3.29,316.99,15
16,7,15.4,4,11,22,3.7,31.2,1,2,1031,7,1.58,208.12,6
13,2,18.6,3,16,23,3.7,32.1,1,2,344,7,1.15,121.63,2
21,7,15.5,0,8.6,22,3.8,19.1,2,3,446,8,2.88,361.36,8
21,3,16.2,2,12.9,19,3.7,36.3,0,3,1298,10,0.53,52.26,11
14,7,14.6,1,10.8,26,3.6,53.2,1,2,521,6,2.4,344.06,11
14,2,17.2,4,16,25,3.9,53.6,1,3,941,11,3.54,286.75,11
16,14,17.6,1,19.4,17,4,47.1,0,2,531,6,0.94,94.52,6
13,11,16.2,1,14,21,3.6,36,0,4,350,11,0.33,31.78,5
23,13,15.3,0,12.5,17,3.5,31.2,39,2,842,9,7.18,483.35,7
7,2,18.8,4,16.8,21,3.5,45.4,0,2,770,6,0.59,31.65,15
4,3,15.1,1,9.6,24,3.7,33,0,3,678,8,0.23,17.47,13
5,3,16.2,1,15.9,14,3.8,33.6,2,2,748,9,1.28,103.28,15
21,1,17.7,4,16.3,29,3.7,50.9,0,4,513,11,1.52,48.25,8
14,7,15.2,2,15.2,22,3.8,25.9,0,3,1239,10,0.43,39.88,1
24,11,16.2,1,14.8,24,3.9,26.4,1,3,432,7,0.66,54.31,13
13,10,15.9,2,14,21,3.9,28.9,1,3,645,7,3.41,249.09,8
24,2,19.1,4,17.6,19,4,45.7,0,2,601,6,0.36,34.85,7
13,14,15.9,0,11.3,15,3.6,29.4,67,3,756,8,9.91,857.24,5
21,13,15.8,1,13.2,20,3.8,41.8,0,4,832,10,1.76,130.12,11
5,13,16.5,2,14.1,18,3.7,35.6,7,4,441,10,5.22,443.74,15
12,5,15.7,4,12.1,20,3.9,25.2,0,3,978,7,6.62,223.76,3
16,7,15.4,0,11.1,23,4,30.5,0,3,460,9,2.47,100.41,12
18,5,16.1,0,13.6,25,3.4,33.4,1,3,480,10,3.43,292.97,8
9,4,16.1,2,13.5,25,3.8,47.7,1,2,623,7,1.3,200.01,12
23,7,15.2,5,10.5,29,3.1,29.4,24,4,362,10,5.01,276.87,7
20,13,15.4,3,7.8,27,4,10.3,5,2,429,7,1.2,498.99,15
22,11,16.2,2,13.2,25,3.5,21.8,115,3,778,8,5.63,641.45,2
12,14,15.1,2,11.3,14,3.1,33.9,23,4,1381,10,2.47,260.6,9
23,13,15.2,3,11.2,15,3.9,34.8,0,2,1202,8,1.84,137.54,7
12,4,16.6,5,16.9,26,3.3,31.8,0,3,489,11,5.95,405.52,9
12,5,15.5,1,7.8,20,4.1,49.7,0,3,606,9,0.03,14.83,1
4,3,16.2,1,13.5,26,4,37.8,7,2,481,8,0.92,86.84,13
24,8,18.1,4,16.1,28,4,37.8,0,2,655,6,1.25,144.56,13
14,13,15.5,2,13.8,20,4.1,35.8,4,3,1848,10,6.06,515.05,11
16,5,16.5,2,15.1,27,3.9,41.4,30,3,635,9,3.04,224.01,10
2,13,16.1,1,10.4,23,3.8,58,0,2,721,7,0.19,21.39,14
19,13,15.7,4,14.3,27,3.7,51.4,0,3,253,10,3.48,295.81,5
24,13,16.1,4,12.2,23,4,35.4,0,2,340,7,0.09,6.28,7
1,9,16.7,3,13.1,21,3.6,48.1,32,3,335,9,4.97,433.51,3
16,4,14.6,3,9,20,3.9,15.1,2,2,360,6,5.65,643.16,6
19,13,15.8,1,10.1,31,3.9,43.1,2,4,1021,10,3.68,230.75,13
6,3,16.2,1,16.3,22,4.1,38.1,1,2,650,7,1.61,236.49,3
11,13,16.1,6,14.7,22,3.6,27.5,3,2,734,6,6.62,567.15,4
16,14,16.7,1,13.4,15,3.9,41.9,0,3,706,9,0.74,98.9,6
17,7,14.5,0,7.7,14,4.1,36.8,34,3,259,9,8.82,869.8,9
12,4,14.7,2,9.3,14,4,40.7,0,3,1104,10,0.4,28.63,9
7,2,15.5,4,12.5,19,3.3,46,0,3,301,8,0.67,64.71,11
13,13,15.1,1,10.6,24,3.8,34.5,0,3,397,9,0.26,5.44,5
16,1,18.3,3,16.5,21,3.7,26.6,0,2,948,6,1.19,72.12,10
7,14,16.4,3,9.9,19,3.7,44.3,0,4,797,11,0.84,108.48,11
14,5,17.2,3,14.5,23,3.4,32.7,34,2,709,7,3.23,382.57,11
2,7,16.2,0,19.7,24,3.5,29,3,3,766,9,2.36,290.87,15
14,2,16.2,4,15.6,20,4,40,0,4,1040,10,1.34,154.19,15
19,5,15.6,5,12.3,29,3.9,25.4,1,3,439,6,2.5,209.74,13
14,2,16,2,13.2,24,4.1,20.4,1,3,216,10,4.31,458.73,15
6,14,16,3,13.5,25,3.5,27.4,0,2,541,7,0.8,55.34,3
2,5,15.7,0,16.3,28,3.8,23.5,1,3,473,9,1.94,161.44,14
12,5,15,2,13,21,3.8,33.1,0,3,813,9,0.16,13.44,1
19,7,17.1,3,15.9,25,3.6,42.4,0,2,935,6,0.32,42.06,13
24,10,16.7,2,12.8,18,4.1,51.6,1,3,355,9,0.79,199.84,13
23,14,15.2,0,6.5,28,3.6,38.7,1,2,621,8,3.17,314.97,7
19,7,14.8,1,10.4,24,3.9,25.6,1,4,595,10,4.29,263.53,5
11,2,17.1,3,17.2,23,3.9,34.2,1,5,603,11,3.3,212.28,4
7,5,16.1,6,15.9,22,4,43.1,86,4,552,10,6.98,425.5,8
12,1,16.1,0,10.3,21,4,37.8,0,3,463,10,1.69,161.16,1
21,2,15.8,4,10,35,3.4,36.5,64,3,952,9,5.15,436.54,4
21,13,15.2,4,10.6,27,3.8,18.4,3,3,858,8,3.54,415.02,11
2,13,16,3,14.9,25,3.6,35.9,8,4,881,10,1.88,177.5,14
11,5,15.5,3,14.5,17,3.9,40.8,0,3,800,9,2.59,243.43,15
11,13,16.5,1,12.8,22,4.1,44.6,2,1,414,7,3.93,462.8,4
12,14,15.8,3,10.3,22,3.8,40.3,0,2,451,7,0.36,60.43,9
16,5,16.2,2,12.1,19,4.1,39.6,0,3,1236,7,0.82,64.45,3
14,13,16.5,0,13.9,28,3.5,38.6,1,3,1287,9,2.5,314.86,15
2,14,15,3,10.5,19,3.9,42.5,1,2,894,7,1.45,129.95,15
16,5,14.6,1,13,20,3.2,20.6,1,3,367,6,2.05,198.88,1
9,1,16.8,1,13.5,22,3.9,42.9,1,4,721,10,1.44,82.96,12
23,13,15.8,1,12.1,16,3.6,32,29,4,284,10,5.32,600.38,7
16,13,16.3,2,14.3,21,3.7,40.5,6,4,706,11,10.6,209.37,12
12,5,16.4,5,7.9,26,3.7,53.2,1,3,870,11,1.55,94.99,1
7,14,16.2,3,12.9,25,3.4,30.8,0,4,361,10,1.74,106.7,8
21,7,16.2,2,12.2,17,3.9,28.4,1,4,1003,10,2.08,221.57,6
16,9,15.8,2,10.7,17,4.2,37.4,1,2,455,7,4.98,585.06,12
7,2,15.5,5,11.8,24,4,28.4,9,3,390,8,2.73,307.43,11
2,2,16.8,0,10.7,25,3.6,34.7,0,3,517,10,0.5,118.98,9
12,8,16.9,3,14.3,25,4,55.4,0,3,1119,9,0.24,44.04,1
14,2,17,4,17.6,23,3.9,34,0,4,1160,11,2.02,174.36,11
7,7,14.8,1,9.9,20,3.6,45,2,3,641,9,3.52,484.08,11
21,13,16.2,5,14.4,23,3.8,31.2,0,4,832,11,2.59,157.05,8
21,11,16.3,2,17.3,25,4,45,0,4,1134,10,1.78,77.39,11
11,5,16,0,14.1,22,3.7,30.6,74,2,463,7,1.8,184.07,4
21,7,15.8,0,10.4,11,3.9,37.9,1,3,1071,8,0.4,100.55,11
20,13,15.7,3,11.7,26,3.4,23.7,3,2,895,7,3.09,233.17,7
2,2,16.7,0,13.8,22,4,45,0,3,693,10,1.36,150.06,14
13,11,18,1,15.2,23,3.7,39.2,76,3,395,8,2.93,199.31,7
6,5,15,0,10,18,4,32.6,2,2,620,8,2.87,319.99,3
16,13,15.5,4,12.2,19,3.8,35.7,0,3,243,10,0.87,37.26,10
16,5,16,2,13.5,24,3.9,48,2,3,760,8,3.97,280.96,10
12,14,14.7,2,10.2,30,4.3,25.1,0,4,890,10,0.9,159.75,1
21,13,15.6,2,11.6,21,3.9,33.7,3,3,531,10,2.27,252.88,8
11,14,15.2,2,8.8,13,3.9,23.4,1,3,735,8,1.09,133.28,4
16,14,15.6,2,13.8,22,3.8,39.9,1,4,891,11,3.68,445.24,3
21,9,16.2,3,12.3,23,3.9,38.1,27,2,648,7,4.56,422.91,8
19,3,15.9,5,16,26,3.6,40.3,0,3,335,8,0.42,44.01,13
15,5,16.4,2,10.1,24,4.2,26.4,1,2,787,7,1.85,96.18,1
14,11,16.1,1,13,24,3.8,29.1,1,3,595,10,5.14,533.37,1
21,2,17.8,3,13.8,22,3.5,32.7,0,3,736,9,4.32,223.02,12
13,3,16,2,14.2,23,3.9,37.9,2,3,1010,8,1.26,103.64,5
2,5,16.1,2,11.8,23,3.7,39.3,1,2,646,6,4.16,381.83,9
14,13,16.6,3,14.1,17,3.9,36.1,2,4,448,10,3.25,440.34,1
16,3,15.6,0,9.8,14,3.9,39.2,1,2,393,8,0.48,126.37,14
21,13,16.2,3,17.9,20,3.6,39.5,0,4,703,11,2.27,250.3,11
21,13,15.9,3,12.2,20,3.9,39.7,1,3,808,8,1.15,101.46,8
24,14,17.2,1,9.7,18,3.8,43.6,3,2,859,6,0.81,47.09,13
18,7,15.2,2,12,24,3.5,23.2,1,3,1206,10,2.53,312.93,8
16,4,15.9,4,12.9,22,3.3,27.5,2,4,424,11,10.79,651.03,6
11,5,15,0,9.2,14,3.5,40.6,0,2,612,8,3.21,220.53,4
7,14,15.3,3,11.9,16,3.7,39.8,0,4,870,9,1.16,61.91,15
16,4,15.3,3,10.2,30,3.5,32.5,1,2,752,7,7.52,470.14,5
19,13,15.4,5,13,18,3.7,38.6,0,3,901,9,1.41,242.24,5
12,5,15,2,9.5,20,3.7,44.5,0,4,564,10,0.64,73.51,1
9,10,16.8,1,15.6,26,3.6,34.7,0,4,625,10,0.63,42.66,12
16,9,15.8,3,12.9,21,3.5,33.1,0,4,610,10,0.41,38.5,12
19,2,16.2,4,12.4,23,3.7,48.2,0,3,1140,11,1.26,117.54,13
13,5,16.4,5,15,20,3.7,45.6,66,3,760,10,3.72,186.49,5
13,4,16.5,4,9.7,24,3.9,30,10,2,723,6,1.45,77.14,3
16,7,15.8,1,8.8,17,3.7,44.4,0,2,767,8,0.45,51.56,15
21,11,16.3,0,16.6,17,3.7,28.1,0,2,563,8,0.9,55.18,11
17,13,15.3,4,9.7,21,3.9,36.9,0,3,808,7,1.96,185.07,9
13,13,15.5,1,9.8,9,3.6,35.9,1,1,555,7,5.5,491.04,9
13,11,16.4,0,12.8,23,3.6,46.4,0,3,584,9,1.06,77.73,7
2,5,15.9,0,15.2,22,3.8,41.7,31,3,811,9,3.91,451.49,1
12,14,16,2,12.9,23,3.3,41.3,0,2,1075,8,1.1,84.28,5
16,14,15.3,2,10,25,3.8,42.7,1,2,1644,7,1.76,94.28,3
3,13,17,4,17.4,25,4,27,6,2,670,6,6.22,646.59,2
2,2,15.8,3,10.7,19,3.8,33.2,2,2,921,8,3.63,376.69,9
24,13,15.1,4,12,22,3.5,32.4,1,2,846,7,1.06,73.44,13
5,7,15.4,0,12.8,13,3.9,45.7,1,3,861,8,2.08,183.86,15
11,13,16.6,3,9.8,26,3.9,28.6,0,3,915,10,5.6,344.14,4
2,5,16.2,0,12.5,22,3.4,33.2,0,2,793,7,0.15,63.54,1
16,10,15.9,2,14.9,27,3.9,46.5,0,3,976,8,0.23,43.76,3
7,13,15.2,5,9.5,28,3.8,32.1,1,4,895,10,2.64,218.57,15
11,5,14.6,4,9.3,16,3.8,42.9,0,2,500,6,2.58,193.5,4
12,5,15.6,1,12.6,17,3.9,46.9,5,2,584,7,8.15,1238.85,6
21,7,16,3,10.9,25,3.5,31.8,21,3,1124,10,5.42,402.35,15
2,4,15.5,2,13.3,20,3.8,36,1,3,583,10,1.31,136.02,14
14,13,15.6,3,13,17,4.1,40.9,1,2,1201,6,1.21,111.12,15
16,13,15,3,13.5,25,3.9,41.8,0,2,672,7,0.32,22.68,1
21,2,18.3,0,11.2,22,3.8,35.5,1,2,428,6,3.64,308.63,8
5,2,15.5,2,13.4,17,3.8,42.7,1,4,1266,10,2.32,208.06,15
11,5,15.4,0,12.6,21,4.1,41.5,0,2,605,7,3.17,358,4
11,13,15.3,0,11.3,17,4.2,23.9,28,2,493,7,5.22,526.57,4
16,5,16,1,11.3,29,3.8,40.9,0,3,611,8,0.5,69.9,12
21,13,16,2,10.9,21,3.8,21.7,2,4,892,11,8.78,808.44,8
21,13,15.4,4,9.5,20,3.8,36,0,3,372,9,2.02,185.11,11
12,14,16,4,14.6,18,3.8,35.7,0,4,434,10,0.44,49.8,14
16,5,16.2,0,10.3,23,3.9,42.5,0,4,317,9,2.12,248.86,14
12,1,15.6,1,14.4,27,4,45.9,0,2,833,8,2.09,82.48,6
21,13,15.8,4,10.3,22,3.9,41.1,1,4,1214,10,3.25,251.31,11
17,11,15.9,0,10.5,20,4,30.8,0,3,726,8,3.4,106.01,9
21,14,15.4,0,13.5,10,3.7,44.8,42,3,646,8,1.49,237.06,8
2,2,16.8,0,14.6,25,3.9,39.3,4,4,656,10,5.79,560.7,14
7,7,16.1,0,11.7,20,3.8,19.2,1,3,734,10,5.65,810.57,11
13,3,16.9,1,17.5,20,3.7,40.4,0,4,367,11,0.73,48.09,5
16,5,15.5,1,12.4,24,3.8,25.2,0,3,343,8,0.32,58.4,15
21,1,15.4,2,10.8,18,3.4,48.5,1,3,692,7,1.38,131.87,8
12,3,16.2,0,9.1,21,3.5,36.2,146,2,1475,8,0.69,100.56,1
16,13,16.7,0,11.6,18,3.9,29.9,0,3,617,9,1.72,141.59,10
7,11,18.7,2,17.9,22,4.1,25.8,0,2,645,6,0.39,58.28,15
16,7,14.6,3,12.4,15,3.7,38.8,33,2,559,7,2.15,193.09,6
16,8,16,2,12.4,24,3.8,42.1,0,3,836,8,0.91,27.75,12
12,7,15.3,0,12.6,25,3.7,31.8,3,4,854,10,4.84,608.17,1
21,13,16.4,4,14,15,4,27.1,2,4,492,11,6.81,596.02,15
13,13,15.6,3,10.3,24,4,26.3,54,4,1153,9,9.19,919.95,9
14,2,16.1,1,11.4,22,3.6,10.4,103,3,949,9,20.93,1954.01,7
21,13,14.9,3,7.4,22,4,41.2,0,3,392,8,1.51,126.52,8
14,11,16.1,2,11.9,19,3.5,36.4,4,3,780,10,0.52,40.82,11
12,5,16.5,0,11.8,25,3.9,34.9,2,4,802,10,6.01,690.19,3
21,11,15.3,2,14.4,19,3.8,32.8,1,2,786,7,0.5,65.31,6
4,11,15.9,2,11,27,3.9,45.7,0,3,740,8,0.14,323.81,13
13,14,14.8,1,13.9,24,3.9,33.2,0,3,634,9,1.16,112.74,5
7,7,15.3,4,10.5,29,3.8,32.5,0,2,620,7,0.75,76.11,15
21,2,17.7,4,11.8,24,3.5,43.3,1,4,555,11,2.77,102.19,8
21,3,16.2,3,10.9,16,4.1,38.5,0,3,472,10,0.47,30.6,10
16,5,15.7,1,9.9,17,3.9,47.8,3,2,302,7,3.66,492.89,10
12,5,15.5,1,11.3,25,3.6,32.9,3,3,377,7,4.32,629.4,14
23,13,16,1,13.2,20,4.1,50.1,3,3,709,10,2.63,294.37,10
16,7,14.9,0,9.5,15,3.6,42.3,0,3,797,7,1.04,128.38,12
13,14,15.8,0,10.4,21,3.7,41.8,16,3,652,10,1.44,63.53,3
21,13,16,1,15.1,17,3.4,43.2,0,3,385,10,0.65,67.95,11
16,13,15.8,3,8.6,17,3.7,49.2,0,3,822,9,0.99,55.02,1
16,11,16,1,15.9,26,4,39.6,0,4,602,9,1.52,141.97,8
23,2,15.8,4,13.4,19,4,39.2,1,3,552,8,1.61,250.64,10
24,11,18.1,1,12.9,28,3.7,46.1,0,1,481,6,0.35,26.93,13
21,13,16.1,4,16.2,23,3.9,41.6,0,2,567,7,1.13,33.64,11
16,4,15.5,1,11.4,20,3.3,38.2,0,4,910,10,0.42,67.85,12
1,10,16.7,2,15.8,23,3.4,33.1,0,4,1219,10,2.41,71.09,13
16,1,15.5,4,10.2,24,3.8,19.3,0,3,1058,7,0.8,93.53,14
1,7,14.5,3,10.5,17,3.9,28.3,4,2,1251,8,4.53,244.8,13
5,14,15,0,9.8,17,4.3,32.6,0,3,943,8,2.22,167.87,15
7,7,15.4,1,8.3,16,3.4,40.1,33,3,1111,7,5.74,451.02,11
16,7,16.4,1,15,21,3.4,32.5,0,4,532,11,0.77,45.64,1
16,9,18.7,0,15.1,23,3.8,52.8,0,3,1234,6,2.34,324.17,12
14,5,16.4,5,11.7,25,3.6,27.5,0,3,333,11,1.8,161.18,15
3,4,16.5,3,18.4,26,3.8,47.3,0,2,337,6,1,70.57,1
16,6,15.4,3,9,18,3.7,29.4,2,3,711,9,5.77,395.77,1
5,13,16.3,4,10.4,21,3.4,20.2,2,2,809,6,2.78,306.77,8
21,7,15.3,2,13,26,3.6,31.5,1,3,934,10,5.93,637.39,8
23,6,15.6,4,7,31,3.3,35,2,4,845,10,3.33,318.83,7
16,3,15.9,0,11.3,32,4,51.1,0,3,822,8,0.53,62.65,12
19,14,15.5,0,11.2,17,3.8,47.4,0,4,538,10,1.15,77.38,5
24,13,16.2,3,8.7,26,3.4,38.2,0,2,504,7,1.09,32.04,13
6,2,16.2,6,12.4,23,3.8,36.8,2,3,1159,10,5.48,341.99,15
21,7,15.8,6,15.6,23,3.8,38.7,0,4,571,10,1.34,118.88,10
10,13,16.5,4,16.8,29,4,34.8,0,4,794,10,3.44,432.07,5
16,11,16,2,10.4,20,4.2,40.9,0,3,470,10,0.54,49.16,10
14,3,15.2,0,16,19,3.9,23.9,0,3,1084,8,0.2,14.45,7
21,5,14.8,4,11.9,20,3.8,34.3,0,2,398,7,2.78,244.29,15
2,7,15.5,1,13.9,15,4,43.8,0,4,439,10,2.35,281.58,9
16,4,14.6,1,11,24,3.8,41.6,24,3,393,7,1.58,180.64,6
23,11,15.2,1,10.6,17,4.2,27.9,1,3,468,9,2.63,182.85,7
13,13,16.4,3,12.3,21,3.6,28.2,13,4,600,11,1.66,125.44,5
21,14,14.9,2,11.4,18,3.5,29.9,0,2,776,7,0.34,42.62,6
16,4,16.3,3,12.6,24,3.8,25,3,4,423,11,6.43,683.02,14
2,14,14.8,4,11.5,19,3.9,29.5,0,3,645,7,0.75,46.46,15
16,14,15.5,3,10.3,23,3.6,44.1,1,3,965,9,1.29,193.88,9
21,7,16.3,2,13.9,26,3.8,38.8,0,3,282,9,1.01,47.89,10
16,7,15.9,3,11.1,26,3.8,32.9,0,2,668,7,0.75,73.42,8
17,2,17.6,3,15.9,27,3.5,30.9,0,2,558,9,0.37,37.31,9
5,5,14.6,6,10.7,26,4.2,38.4,0,2,338,6,2.26,220.28,15
13,14,15.8,1,12.1,26,3.9,38.9,0,2,842,7,1.53,142.84,9
23,13,15.8,1,13.9,26,3.9,41.9,0,3,750,8,0.38,102.83,7
16,1,16.2,3,9.4,23,3.8,37.4,0,3,939,10,1.17,113.53,14
16,7,15.5,2,10.3,26,3.5,36,0,3,401,10,1.86,102.93,6
19,13,16.2,2,11.2,21,4,16.4,0,3,500,10,2.38,149.89,9
24,13,16.5,3,14.6,21,3.6,32.1,62,3,390,8,2.99,126.01,13
18,7,16.7,3,10.7,20,3.7,37.9,1,3,716,11,0.83,30.64,10
16,5,16,2,15.8,21,3.3,39.6,1,3,971,7,3.86,400.08,9
2,5,15.5,3,8.3,25,3.7,46.9,1,3,478,9,1.09,101.79,14
16,13,16,2,10.8,14,3.8,42.1,142,2,574,8,4.23,187.15,12
5,2,16,4,12.3,20,3.8,37.7,0,3,468,10,4.24,283.24,10
14,5,15.8,3,13,19,3.7,34.7,0,3,1104,9,2.37,275.94,11
17,11,15.7,0,13.3,16,3.4,41.7,105,3,467,8,3.34,249.89,9
21,13,15.4,0,9.8,22,3.8,41.8,32,3,840,10,3.78,426.97,8
13,3,16.7,3,15,20,3.7,33.7,123,3,773,9,1.39,160.09,5
23,2,16.2,4,14.5,28,3.7,43.8,1,4,572,10,6.03,404.74,10
16,14,16.6,2,12.3,15,2.9,31.8,0,2,815,7,1.13,157.92,12
15,5,16.6,1,13.4,18,3.7,32.9,0,2,621,7,0.54,39.32,1
16,14,16.3,0,13.4,17,4,30.4,1,2,482,7,5,448.08,12
4,6,16.2,2,16.2,15,3.7,44.2,0,4,1287,10,0.4,28.02,13
5,5,15.2,4,9,32,3.8,21.4,10,3,1283,7,6.85,661.76,4
1,13,16.8,3,12.8,26,3.7,36,1,2,893,6,3.89,404.39,1
21,13,16,1,11.1,17,3.2,33.1,1,3,731,8,2.82,300.52,8
16,14,15.5,3,8.2,22,3.6,37.4,0,2,829,9,0.93,98.49,10
23,10,15.8,2,13.3,24,3.9,22.4,1,3,894,8,1.72,54.22,7
21,2,16.4,4,14.6,16,3.5,25.4,0,3,512,11,1.73,181.87,11
24,11,16,2,12.2,22,3.6,42.2,3,3,833,10,4.25,380.88,13
21,7,15.3,0,10.2,25,4,35.1,37,4,1549,9,7.27,481.32,8
21,13,16,3,10.9,21,3.9,39.3,0,4,742,10,0.89,92.92,11
21,3,15.4,5,8.3,28,3.7,49.4,0,2,506,6,0.66,48.92,8
21,7,14.9,4,12.4,26,3.9,38.9,0,3,207,10,2.8,45.28,15
21,7,15,0,12.6,31,3.8,54.7,114,3,886,8,4.02,447.49,11
16,5,15.2,4,9.8,21,4.1,35.5,0,2,654,7,2.2,50.61,1
18,5,16.4,0,12.3,20,4.1,41.6,0,4,471,11,1.16,111.37,4
2,2,16.2,4,14.5,27,3.7,39.9,0,4,574,11,2.22,267.26,15
21,14,15,2,9.1,25,4.2,35.6,0,2,616,8,0.4,29.7,15
21,11,15.9,1,9.3,26,3.8,31.2,28,2,464,7,8.47,863.46,8
16,8,15.4,0,14.2,20,4,26.7,28,3,1110,8,2.81,563.38,14
16,7,15.6,1,14.2,21,3.9,23.6,0,3,231,10,0.39,43.54,6
16,5,15,3,10.6,21,3.8,34.7,1,3,771,10,3.7,348.96,12
2,1,16.2,0,12.7,19,3.8,41,0,4,259,10,0.95,32.68,14
14,14,14.5,1,14.5,16,3.2,44.2,1,3,580,8,4.11,493.71,9
11,2,15.6,0,12.8,17,3.9,50.4,2,2,276,7,6.39,511.02,4
5,6,16.6,4,15.2,25,4.1,43.1,0,2,542,7,0.88,60.43,8
21,13,16.4,6,9.9,21,4,37.2,0,4,877,11,0.49,31.91,15
23,13,16,4,9.6,21,3.5,43.5,0,4,673,10,0.5,18.81,10
19,3,16.2,2,11.6,20,3.5,38,0,3,965,10,0.48,22.9,13
24,13,15.7,3,13.8,19,3.8,36.6,1,3,442,9,1.23,76.17,7
4,3,16.6,1,13.7,18,4.1,37.5,10,3,724,11,0.45,93.79,13
16,4,16.2,1,12.2,22,4,42.4,0,4,158,9,0.66,81.65,12
5,7,15.3,1,11.2,21,3.7,40.1,1,3,346,8,3.05,334.34,8
16,7,15.1,1,9.9,18,3.7,26.6,80,4,712,8,3.32,399.61,3
5,14,16.2,2,15,18,3.2,50.6,1,3,372,10,1.2,148.07,15
14,14,15.4,0,8.2,15,3.9,41.9,0,3,1077,9,0.17,26.91,9
21,13,16.2,3,11.4,19,3.5,31.8,5,4,737,10,4.79,271.13,8
7,11,15.9,0,14.1,30,3.9,39.2,0,2,428,7,0.24,7.69,4
19,13,16.1,4,13.2,30,3.5,32.3,13,4,405,11,6.5,527.18,13
21,7,15.4,0,12.1,21,3.9,39.9,1,3,776,9,1.76,148.24,8
13,11,16.6,2,15.2,15,4.2,39.1,11,3,189,11,1.81,155.74,2
24,13,14.6,3,8.1,24,3.9,48.5,0,3,963,7,1.28,49.69,9
2,2,16.9,1,13.3,23,3.9,19.3,36,3,1211,9,5,542.14,9
2,11,16.2,2,11.9,29,3.8,38.4,0,2,535,7,0.28,61.96,14
